playerName,2ptMake,2ptMiss,3ptMake,3ptMiss
Anthony Edwards,0.483,0.517,0.329,0.671
Blake Griffin,,,,
Caris LeVert,0.501,0.499,0.318,0.682
Chris Paul,,,,
Damian Lillard,0.51,0.49,0.379,0.621
Devin Booker,0.543,0.457,0.34,0.66
Donovan Mitchell,,,,
Duncan Robinson,0.625,0.375,0.408,0.592
Giannis Antetokounmpo,,,,
James Harden,0.548,0.452,0.361,0.639
Jerami Grant,0.473,0.527,0.35,0.65
Joe Harris,,,,
Jordan Poole,0.545,0.455,0.351,0.649
Kemba Walker,,,,
Kevin Durant,0.576,0.424,0.448,0.552
Khris Middleton,0.508,0.492,0.414,0.586
Killian Hayes,0.395,0.605,0.278,0.722
Kyrie Irving,0.575,0.425,0.398,0.602
LaMelo Ball,0.503,0.497,0.375,0.625
LeBron James,0.592,0.408,0.386,0.614
Luka Doncic,0.564,0.436,0.364,0.636
Saddiq Bey,0.473,0.527,0.386,0.614
Stephen Curry,0.58,0.42,0.422,0.578
Trae Young,0.472,0.528,0.358,0.642
Tyler Herro,0.498,0.502,0.36,0.64
